,Theme,FeatureVector,WordVector
Archimedes,People,[0.00865801 0.01298701 0.00865801 ... 0.         0.         0.        ],"['archimedes', 'syracuse', 'ancient', 'greek', 'ἀρχιμήδης', 'doric', 'greek', 'ar', 'kʰi', 'mɛː', 'dɛ̂ːs', 'c', '287', '–', 'c', '212', 'bc', 'greek', 'mathematician', 'physicist', 'engineer', 'astronomer', 'inventor', 'ancient', 'city', 'syracuse', 'sicily', 'although', 'detail', 'life', 'know', 'regard', 'one', 'lead', 'scientist', 'classical', 'antiquity', 'consider', 'great', 'mathematician', 'ancient', 'history', 'one', 'greatest', 'time', 'archimedes', 'anticipated', 'modern', 'calculus', 'analysis', 'apply', 'concept', 'infinitely', 'small', 'method', 'exhaustion', 'derive', 'rigorously', 'prove', 'range', 'geometrical', 'theorem', 'include', 'area', 'circle', 'surface', 'area', 'volume', 'sphere', 'area', 'ellipse', 'area', 'parabola', 'volume', 'segment', 'paraboloid', 'revolution', 'volume', 'segment', 'hyperboloid', 'revolution', 'area', 'spiral', 'archimedes', 'mathematical', 'achievement', 'include', 'derive', 'approximation', 'pi', 'define', 'investigate', 'spiral', 'bear', 'name', 'devise', 'system', 'use', 'exponentiation', 'express', 'large', 'number', 'also', 'one', 'first', 'apply', 'mathematics', 'physical', 'phenomenon', 'found', 'hydrostatics', 'static', 'archimedes', 'achievement', 'area', 'include', 'proof', 'principle', 'lever', 'widespread', 'use', 'concept', 'center', 'gravity', 'enunciation', 'law', 'buoyancy', 'also', 'credit', 'design', 'innovative', 'machine', 'screw', 'pump', 'compound', 'pulley', 'defensive', 'war', 'machine', 'protect', 'native', 'syracuse', 'invasion', 'archimedes', 'die', 'siege', 'syracuse', 'kill', 'roman', 'soldier', 'despite', 'order', 'harm', 'cicero', 'describes', 'visit', 'archimedes', 'tomb', 'surmount', 'sphere', 'cylinder', 'archimedes', 'request', 'place', 'tomb', 'represent', 'mathematical', 'discovery', 'unlike', 'invention', 'archimedes', 'mathematical', 'writing', 'little', 'known', 'antiquity', 'mathematician', 'alexandria', 'read', 'quote', 'first', 'comprehensive', 'compilation', 'make', 'c', '530', 'ad', 'isidore', 'miletus', 'byzantine', 'constantinople', 'commentary', 'work', 'archimedes', 'eutocius', '6th', 'century', 'open', 'wide', 'readership', 'first', 'time', 'relatively', 'copy', 'archimedes', 'write', 'work', 'survive', 'middle', 'age', 'influential', 'source', 'idea', 'scientist', 'renaissance', '17th', 'century', 'discovery', '1906', 'previously', 'lose', 'work', 'archimedes', 'archimedes', 'palimpsest', 'provide', 'new', 'insight', 'obtain', 'mathematical', 'result']"
Architecture,Arts,[0.00361011 0.00722022 0.00361011 ... 0.         0.         0.        ],"['architecture', 'latin', 'architectura', 'ancient', 'greek', 'ἀρχιτέκτων', 'arkhitéktōn', 'architect', 'ἀρχι', 'arkhi', 'chief', 'τέκτων', 'téktōn', 'creator', 'process', 'product', 'sketch', 'conceive', 'plan', 'design', 'construct', 'building', 'structure', 'architectural', 'work', 'material', 'form', 'building', 'often', 'perceive', 'cultural', 'symbol', 'work', 'art', 'historical', 'civilization', 'often', 'identify', 'survive', 'architectural', 'achievement', 'practice', 'begin', 'prehistoric', 'era', 'use', 'way', 'express', 'culture', 'civilization', 'seven', 'continent', 'reason', 'architecture', 'consider', 'form', 'art', 'text', 'architecture', 'write', 'since', 'ancient', 'time', 'earliest', 'survive', 'text', 'architectural', 'theory', '1st', 'century', 'ad', 'treatise', 'de', 'architectura', 'roman', 'architect', 'vitruvius', 'accord', 'good', 'building', 'embodies', 'firmitas', 'utilitas', 'venustas', 'durability', 'utility', 'beauty', 'century', 'later', 'leon', 'battista', 'alberti', 'develop', 'idea', 'see', 'beauty', 'objective', 'quality', 'building', 'find', 'proportion', 'giorgio', 'vasari', 'write', 'life', 'excellent', 'painter', 'sculptor', 'architect', 'put', 'forward', 'idea', 'style', 'western', 'art', '16th', 'century', '19th', 'century', 'louis', 'sullivan', 'declared', 'form', 'follow', 'function', 'function', 'begin', 'replace', 'classical', 'utility', 'understood', 'include', 'practical', 'also', 'aesthetic', 'psychological', 'cultural', 'dimension', 'idea', 'sustainable', 'architecture', 'introduce', 'late', '20th', 'century', 'architecture', 'begin', 'rural', 'oral', 'vernacular', 'architecture', 'develop', 'trial', 'error', 'successful', 'replication', 'ancient', 'urban', 'architecture', 'preoccupy', 'build', 'religious', 'structure', 'building', 'symbolize', 'political', 'power', 'ruler', 'greek', 'roman', 'architecture', 'shift', 'focus', 'civic', 'virtue', 'indian', 'chinese', 'architecture', 'influence', 'form', 'asia', 'buddhist', 'architecture', 'particular', 'take', 'diverse', 'local', 'flavor', 'fact', 'european', 'middle', 'age', 'pan', 'european', 'style', 'romanesque', 'gothic', 'cathedral', 'abbey', 'emerge', 'renaissance', 'favor', 'classical', 'form', 'implement', 'architect', 'know', 'name', 'later', 'role', 'architects', 'engineer', 'become', 'separated', 'modern', 'architecture', 'begin', 'world', 'war', 'avant', 'garde', 'movement', 'seek', 'develop', 'completely', 'new', 'style', 'appropriate', 'new', 'post', 'war', 'social', 'economic', 'order', 'focus', 'meeting', 'need', 'middle', 'work', 'class', 'emphasis', 'put', 'modern', 'technique', 'material', 'simplify', 'geometric', 'form', 'pave', 'way', 'high', 'rise', 'superstructures', 'many', 'architect', 'become', 'disillusioned', 'modernism', 'perceive', 'ahistorical', 'anti', 'aesthetic', 'postmodern', 'contemporary', 'architecture', 'develop', 'year', 'field', 'architectural', 'construction', 'branch', 'include', 'everything', 'ship', 'design', 'interior', 'decorating']"
Arctic Ocean,Geography,[0.00574713 0.00574713 0.00574713 ... 0.         0.         0.        ],"['arctic', 'ocean', 'small', 'shallow', 'world', 'five', 'major', 'ocean', 'span', 'area', 'approximately', '14', '060', '000', 'km2', '5', '430', '000', 'sq', 'mi', 'know', 'cold', 'ocean', 'international', 'hydrographic', 'organization', 'iho', 'recognize', 'ocean', 'although', 'oceanographer', 'call', 'arctic', 'mediterranean', 'sea', 'describe', 'approximately', 'estuary', 'atlantic', 'ocean', 'also', 'see', 'northernmost', 'part', 'encompass', 'world', 'ocean', 'arctic', 'ocean', 'include', 'north', 'pole', 'region', 'middle', 'northern', 'hemisphere', 'extend', 'south', '60°n', 'arctic', 'ocean', 'surround', 'eurasia', 'north', 'america', 'border', 'follow', 'topographic', 'feature', 'bering', 'strait', 'pacific', 'side', 'greenland', 'scotland', 'ridge', 'atlantic', 'side', 'mostly', 'cover', 'sea', 'ice', 'throughout', 'year', 'almost', 'completely', 'winter', 'arctic', 'ocean', 'surface', 'temperature', 'salinity', 'vary', 'seasonally', 'ice', 'cover', 'melt', 'freezes', 'salinity', 'low', 'average', 'five', 'major', 'ocean', 'due', 'low', 'evaporation', 'heavy', 'fresh', 'water', 'inflow', 'river', 'stream', 'limited', 'connection', 'outflow', 'surround', 'oceanic', 'water', 'high', 'salinity', 'summer', 'shrink', 'ice', 'quote', '50', 'u', 'national', 'snow', 'ice', 'data', 'center', 'nsidc', 'use', 'satellite', 'data', 'provide', 'daily', 'record', 'arctic', 'sea', 'ice', 'cover', 'rate', 'melt', 'compare', 'average', 'period', 'specific', 'past', 'year', 'show', 'continuous', 'decline', 'sea', 'ice', 'extent', 'september', '2012', 'arctic', 'ice', 'extent', 'reach', 'new', 'record', 'minimum', 'compare', 'average', 'extent', '1979–2000', 'sea', 'ice', 'diminish', '49']"
Arctic,Geography,[0.         0.01098901 0.         ... 0.         0.         0.        ],"['arctic', 'polar', 'region', 'locate', 'northernmost', 'part', 'earth', 'arctic', 'consist', 'arctic', 'ocean', 'adjacent', 'sea', 'part', 'canada', 'denmark', 'greenland', 'finland', 'iceland', 'norway', 'russia', 'murmansk', 'siberia', 'nenets', 'okrug', 'novaya', 'zemlya', 'sweden', 'united', 'state', 'alaska', 'land', 'within', 'arctic', 'region', 'seasonally', 'vary', 'snow', 'ice', 'cover', 'predominantly', 'treeless', 'permafrost', 'permanently', 'frozen', 'underground', 'ice', 'contain', 'tundra', 'arctic', 'sea', 'contain', 'seasonal', 'sea', 'ice', 'many', 'place', 'arctic', 'region', 'unique', 'area', 'among', 'earth', 'ecosystem', 'culture', 'region', 'arctic', 'indigenous', 'people', 'adapt', 'cold', 'extreme', 'condition', 'life', 'arctic', 'include', 'zooplankton', 'phytoplankton', 'fish', 'marine', 'mammal', 'bird', 'land', 'animal', 'plant', 'human', 'society', 'arctic', 'land', 'border', 'subarctic']"
Area,Mathematics,[0.01293103 0.         0.         ... 0.         0.         0.        ],"['area', 'quantity', 'express', 'extent', 'region', 'plane', 'curve', 'surface', 'area', 'plane', 'region', 'plane', 'area', 'refers', 'area', 'shape', 'planar', 'lamina', 'surface', 'area', 'refers', 'area', 'open', 'surface', 'boundary', 'three', 'dimensional', 'object', 'area', 'understood', 'amount', 'material', 'give', 'thickness', 'would', 'necessary', 'fashion', 'model', 'shape', 'amount', 'paint', 'necessary', 'cover', 'surface', 'single', 'coat', 'two', 'dimensional', 'analogue', 'length', 'curve', 'one', 'dimensional', 'concept', 'volume', 'solid', 'three', 'dimensional', 'concept', 'area', 'shape', 'measure', 'compare', 'shape', 'square', 'fix', 'size', 'international', 'system', 'unit', 'si', 'standard', 'unit', 'area', 'square', 'metre', 'write', 'm2', 'area', 'square', 'whose', 'side', 'one', 'metre', 'long', 'shape', 'area', 'three', 'square', 'metre', 'would', 'area', 'three', 'square', 'mathematics', 'unit', 'square', 'define', 'area', 'one', 'area', 'shape', 'surface', 'dimensionless', 'real', 'number', 'several', 'well', 'know', 'formula', 'area', 'simple', 'shape', 'triangle', 'rectangle', 'circle', 'use', 'formulas', 'area', 'polygon', 'find', 'divide', 'polygon', 'triangle', 'shape', 'curve', 'boundary', 'calculus', 'usually', 'require', 'compute', 'area', 'indeed', 'problem', 'determine', 'area', 'plane', 'figure', 'major', 'motivation', 'historical', 'development', 'calculus', 'solid', 'shape', 'sphere', 'cone', 'cylinder', 'area', 'boundary', 'surface', 'call', 'surface', 'area', 'formulas', 'surface', 'area', 'simple', 'shape', 'compute', 'ancient', 'greek', 'compute', 'surface', 'area', 'complicate', 'shape', 'usually', 'require', 'multivariable', 'calculus', 'area', 'play', 'important', 'role', 'modern', 'mathematics', 'addition', 'obvious', 'importance', 'geometry', 'calculus', 'area', 'relate', 'definition', 'determinant', 'linear', 'algebra', 'basic', 'property', 'surface', 'differential', 'geometry', 'analysis', 'area', 'subset', 'plane', 'define', 'use', 'lebesgue', 'measure', 'though', 'every', 'subset', 'measurable', 'general', 'area', 'high', 'mathematics', 'see', 'special', 'case', 'volume', 'two', 'dimensional', 'region', 'area', 'define', 'use', 'axiom', 'define', 'function', 'collection', 'certain', 'plane', 'figure', 'set', 'real', 'number', 'prove', 'function', 'exists']"
Argentina,Geography,[0.        0.        0.0058651 ... 0.        0.        0.       ],"['argentina', 'spanish', 'pronunciation', 'aɾxenˈtina', 'listen', 'officially', 'argentine', 'republic', 'spanish', 'república', 'argentina', 'country', 'southern', 'half', 'south', 'america', 'argentina', 'cover', 'area', '2', '780', '400', 'km2', '1', '073', '500', 'sq', 'mi', 'make', 'second', 'large', 'country', 'south', 'america', 'brazil', 'fourth', 'large', 'country', 'america', 'eighth', 'large', 'country', 'world', 'share', 'bulk', 'southern', 'cone', 'chile', 'west', 'also', 'border', 'bolivia', 'paraguay', 'north', 'brazil', 'northeast', 'uruguay', 'south', 'atlantic', 'ocean', 'east', 'drake', 'passage', 'south', 'argentina', 'federal', 'state', 'subdivide', 'twenty', 'three', 'province', 'one', 'autonomous', 'city', 'federal', 'capital', 'large', 'city', 'nation', 'buenos', 'aire', 'province', 'capital', 'constitution', 'exist', 'federal', 'system', 'argentina', 'claim', 'sovereignty', 'part', 'antarctica', 'falkland', 'islands', 'south', 'georgia', 'south', 'sandwich', 'islands', 'early', 'record', 'human', 'presence', 'modern', 'day', 'argentina', 'date', 'back', 'paleolithic', 'period', 'inca', 'empire', 'expand', 'northwest', 'country', 'pre', 'columbian', 'time', 'country', 'root', 'spanish', 'colonization', 'region', '16th', 'century', 'argentina', 'rise', 'successor', 'state', 'viceroyalty', 'río', 'de', 'la', 'plata', 'spanish', 'overseas', 'viceroyalty', 'found', '1776', 'declaration', 'fight', 'independence', '1810–1818', 'follow', 'extend', 'civil', 'war', 'last', '1861', 'culminate', 'country', 'reorganization', 'federation', 'country', 'thereafter', 'enjoy', 'relative', 'peace', 'stability', 'several', 'wave', 'european', 'immigration', 'mainly', 'italians', 'spaniard', 'radically', 'reshape', 'cultural', 'demographic', 'outlook', '60', 'population', 'full', 'partial', 'italian', 'ancestry', 'argentine', 'culture', 'significant', 'connection', 'italian', 'culture', 'almost', 'unparalleled', 'increase', 'prosperity', 'lead', 'argentina', 'become', 'seventh', 'wealthy', 'nation', 'world', 'early', '20th', 'century', '1896', 'argentina', 'gdp', 'per', 'caput', 'surpass', 'united', 'state', 'consistently', 'top', 'ten', 'least', '1920', 'currently', 'rank', '89th', 'world', 'follow', 'great', 'depression', '1930s', 'argentina', 'descend', 'political', 'instability', 'economic', 'decline', 'push', 'back', 'underdevelopment', 'although', 'remain', 'among', 'fifteen', 'rich', 'country', 'several', 'decade', 'follow', 'death', 'president', 'juan', 'perón', '1974', 'widow', 'vice', 'president', 'isabel', 'perón', 'ascend', 'presidency', 'overthrown', '1976', 'follow', 'military', 'junta', 'support', 'united', 'state', 'persecute', 'murdered', 'thousand', 'political', 'critic', 'activist', 'leftists', 'dirty', 'war', 'period', 'state', 'terrorism', 'civil', 'unrest', 'last', 'election', 'raúl', 'alfonsín', 'president', '1983', 'argentina', 'regional', 'power', 'retains', 'historic', 'status', 'middle', 'power', 'international', 'affair', 'major', 'non', 'nato', 'ally', 'argentina', 'develop', 'country', 'rank', '46th', 'human', 'development', 'index', 'second', 'high', 'latin', 'america', 'chile', 'maintain', 'second', 'large', 'economy', 'south', 'america', 'member', 'g', '15', 'g20', 'argentina', 'also', 'found', 'member', 'united', 'nation', 'world', 'bank', 'world', 'trade', 'organization', 'mercosur', 'community', 'latin', 'american', 'caribbean', 'state', 'organization', 'ibero', 'american', 'state', 'since', 'january', '2022', 'argentina', 'oecd', 'candidate', 'country']"
Aristotle,People,[0.         0.00355872 0.00355872 ... 0.         0.         0.        ],"['aristotle', 'greek', 'ἀριστοτέλης', 'aristotélēs', 'pronounce', 'aristotélɛːs', '384–322', 'bc', 'greek', 'philosopher', 'polymath', 'classical', 'period', 'ancient', 'greece', 'teach', 'plato', 'founder', 'peripatetic', 'school', 'philosophy', 'within', 'lyceum', 'wider', 'aristotelian', 'tradition', 'writing', 'cover', 'many', 'subject', 'include', 'physic', 'biology', 'zoology', 'metaphysics', 'logic', 'ethic', 'aesthetic', 'poetry', 'theatre', 'music', 'rhetoric', 'psychology', 'linguistics', 'economics', 'politics', 'meteorology', 'geology', 'government', 'aristotle', 'provide', 'complex', 'synthesis', 'various', 'philosophy', 'exist', 'prior', 'teaching', 'west', 'inherit', 'intellectual', 'lexicon', 'well', 'problem', 'method', 'inquiry', 'result', 'philosophy', 'exert', 'unique', 'influence', 'almost', 'every', 'form', 'knowledge', 'west', 'continue', 'subject', 'contemporary', 'philosophical', 'discussion', 'little', 'known', 'life', 'aristotle', 'born', 'city', 'stagira', 'northern', 'greece', 'father', 'nicomachus', 'die', 'aristotle', 'child', 'bring', 'guardian', 'seventeen', 'eighteen', 'year', 'age', 'join', 'plato', 'academy', 'athens', 'remain', 'age', 'thirty', 'seven', 'c', '347', 'bc', 'shortly', 'plato', 'died', 'aristotle', 'leave', 'athens', 'request', 'philip', 'ii', 'macedon', 'tutor', 'alexander', 'great', 'begin', '343', 'bc', 'establish', 'library', 'lyceum', 'help', 'produce', 'many', 'hundred', 'book', 'papyrus', 'scroll', 'though', 'aristotle', 'write', 'many', 'elegant', 'treatise', 'dialogue', 'publication', 'around', 'third', 'original', 'output', 'survive', 'none', 'intend', 'publication', 'aristotle', 'view', 'profoundly', 'shape', 'medieval', 'scholarship', 'influence', 'physical', 'science', 'extend', 'late', 'antiquity', 'early', 'middle', 'age', 'renaissance', 'replace', 'systematically', 'enlightenment', 'theory', 'classical', 'mechanic', 'develop', 'aristotle', 'zoological', 'observation', 'find', 'biology', 'hectocotyl', 'reproductive', 'arm', 'octopus', 'disbelieve', '19th', 'century', 'also', 'influence', 'judeo', 'islamic', 'philosophy', 'middle', 'age', 'well', 'christian', 'theology', 'especially', 'neoplatonism', 'early', 'church', 'scholastic', 'tradition', 'catholic', 'church', 'aristotle', 'revere', 'among', 'medieval', 'muslim', 'scholar', 'first', 'teacher', 'among', 'medieval', 'christian', 'like', 'thomas', 'aquinas', 'simply', 'philosopher', 'poet', 'dante', 'call', 'master', 'know', 'work', 'contain', 'earliest', 'know', 'formal', 'study', 'logic', 'study', 'medieval', 'scholar', 'peter', 'abelard', 'john', 'buridan', 'aristotle', 'influence', 'logic', 'continue', 'well', '19th', 'century', 'addition', 'ethic', 'though', 'always', 'influential', 'gain', 'renew', 'interest', 'modern', 'advent', 'virtue', 'ethic', 'aristotle', 'call', 'father', 'logic', 'biology', 'political', 'science', 'zoology', 'embryology', 'natural', 'law', 'scientific', 'method', 'rhetoric', 'psychology', 'realism', 'criticism', 'individualism', 'teleology', 'meteorology']"
Arithmetic,Mathematics,[0. 0. 0. ... 0. 0. 0.],"['arithmetic', 'ancient', 'greek', 'ἀριθμός', 'arithmós', 'number', 'τική', 'τέχνη', 'tikḗ', 'tékhnē', 'art', 'craft', 'elementary', 'part', 'mathematics', 'consist', 'study', 'property', 'traditional', 'operation', 'numbers—addition', 'subtraction', 'multiplication', 'division', 'exponentiation', 'extraction', 'root', '19th', 'century', 'italian', 'mathematician', 'giuseppe', 'peano', 'formalize', 'arithmetic', 'peano', 'axiom', 'highly', 'important', 'field', 'mathematical', 'logic', 'today']"
Armour,Technology,[0.05263158 0.         0.         ... 0.         0.         0.        ],"['armour', 'british', 'english', 'armor', 'american', 'english', 'see', 'spell', 'difference', 'cover', 'use', 'protect', 'object', 'individual', 'vehicle', 'physical', 'injury', 'damage', 'especially', 'direct', 'contact', 'weapon', 'projectile', 'combat', 'potentially', 'dangerous', 'environment', 'activity', 'e', 'g', 'cycle', 'construction', 'site', 'etc', 'personal', 'armour', 'use', 'protect', 'soldier', 'war', 'animal', 'vehicle', 'armour', 'use', 'warship', 'armour', 'fight', 'vehicle', 'mostly', 'grind', 'attack', 'combat', 'aircraft', 'second', 'use', 'term', 'armour', 'describes', 'armour', 'force', 'armour', 'weapon', 'role', 'combat', 'development', 'armour', 'warfare', 'tank', 'mechanise', 'infantry', 'combat', 'formation', 'come', 'refer', 'collectively', 'armour']"
Art,Arts,[0.   0.01 0.   ... 0.   0.   0.  ],"['art', 'diverse', 'range', 'human', 'activity', 'result', 'product', 'involve', 'creative', 'imaginative', 'talent', 'expressive', 'technical', 'proficiency', 'beauty', 'emotional', 'power', 'conceptual', 'idea', 'generally', 'agree', 'definition', 'constitutes', 'art', 'interpretation', 'vary', 'greatly', 'throughout', 'history', 'across', 'culture', 'three', 'classical', 'branch', 'visual', 'art', 'paint', 'sculpture', 'architecture', 'theatre', 'dance', 'performing', 'art', 'well', 'literature', 'music', 'film', 'medium', 'interactive', 'medium', 'include', 'broad', 'definition', 'art', '17th', 'century', 'art', 'refer', 'skill', 'mastery', 'differentiated', 'craft', 'science', 'modern', 'usage', '17th', 'century', 'aesthetic', 'consideration', 'paramount', 'fine', 'art', 'separate', 'distinguish', 'acquire', 'skill', 'general', 'decorative', 'apply', 'art', 'nature', 'art', 'related', 'concept', 'creativity', 'interpretation', 'explore', 'branch', 'philosophy', 'know', 'aesthetic', 'result', 'artwork', 'study', 'professional', 'field', 'art', 'criticism', 'history', 'art']"
Arthropod,Science,[0.00986842 0.         0.00328947 ... 0.         0.         0.        ],"['arthropod', 'ancient', 'greek', 'ἄρθρον', 'arthron', 'joint', 'πούς', 'pous', 'foot', 'gen', 'ποδός', 'invertebrate', 'animal', 'exoskeleton', 'segment', 'body', 'pair', 'jointed', 'appendage', 'arthropod', 'form', 'phylum', 'arthropoda', 'distinguish', 'jointed', 'limb', 'cuticle', 'make', 'chitin', 'often', 'mineralised', 'calcium', 'carbonate', 'arthropod', 'body', 'plan', 'consist', 'segment', 'pair', 'appendage', 'arthropod', 'bilaterally', 'symmetrical', 'body', 'possess', 'external', 'skeleton', 'order', 'keep', 'grow', 'must', 'go', 'stage', 'moult', 'process', 'shed', 'exoskeleton', 'reveal', 'new', 'one', 'species', 'wing', 'extremely', 'diverse', 'group', '10', 'million', 'specie', 'haemocoel', 'arthropod', 'internal', 'cavity', 'haemolymph', '–', 'analogue', 'blood', '–', 'circulate', 'accommodate', 'interior', 'organ', 'open', 'circulatory', 'system', 'like', 'exterior', 'internal', 'organ', 'arthropod', 'generally', 'build', 'repeat', 'segment', 'nervous', 'system', 'ladder', 'like', 'paired', 'ventral', 'nerve', 'cord', 'run', 'segment', 'form', 'pair', 'ganglia', 'segment', 'head', 'form', 'fusion', 'vary', 'number', 'segment', 'brain', 'form', 'fusion', 'ganglion', 'segment', 'encircle', 'esophagus', 'respiratory', 'excretory', 'system', 'arthropod', 'vary', 'depend', 'much', 'environment', 'subphylum', 'belong', 'arthropod', 'use', 'combination', 'compound', 'eye', 'pigment', 'pit', 'ocelli', 'vision', 'specie', 'ocelli', 'detect', 'direction', 'light', 'come', 'compound', 'eye', 'main', 'source', 'information', 'main', 'eye', 'spider', 'ocelli', 'form', 'image', 'case', 'swivel', 'track', 'prey', 'arthropod', 'also', 'wide', 'range', 'chemical', 'mechanical', 'sensor', 'mostly', 'base', 'modification', 'many', 'bristle', 'know', 'seta', 'project', 'cuticles', 'similarly', 'reproduction', 'development', 'vary', 'terrestrial', 'specie', 'use', 'internal', 'fertilization', 'sometimes', 'indirect', 'transfer', 'sperm', 'via', 'appendage', 'ground', 'rather', 'direct', 'injection', 'aquatic', 'specie', 'use', 'either', 'internal', 'external', 'fertilization', 'almost', 'arthropod', 'lay', 'eggs', 'many', 'specie', 'give', 'birth', 'live', 'young', 'egg', 'hatch', 'inside', 'mother', 'genuinely', 'viviparous', 'aphid', 'arthropod', 'hatchling', 'vary', 'miniature', 'adult', 'grub', 'caterpillar', 'lack', 'joint', 'limb', 'eventually', 'undergo', 'total', 'metamorphosis', 'produce', 'adult', 'form', 'level', 'maternal', 'care', 'hatchling', 'varies', 'nonexistent', 'prolong', 'care', 'provide', 'social', 'insect', 'evolutionary', 'ancestry', 'arthropod', 'date', 'back', 'cambrian', 'period', 'group', 'generally', 'regard', 'monophyletic', 'many', 'analysis', 'support', 'placement', 'arthropod', 'cycloneuralians', 'constituent', 'clade', 'superphylum', 'ecdysozoa', 'overall', 'however', 'basal', 'relationship', 'animal', 'yet', 'well', 'resolve', 'likewise', 'relationship', 'various', 'arthropod', 'group', 'still', 'actively', 'debate', 'today', 'arthropod', 'contribute', 'human', 'food', 'supply', 'directly', 'food', 'importantly', 'indirectly', 'pollinator', 'crop', 'specie', 'know', 'spread', 'severe', 'disease', 'human', 'livestock', 'crop']"
Artificial intelligence,Technology,[0.00917431 0.01529052 0.0030581  ... 0.         0.         0.        ],"['artificial', 'intelligence', 'ai', 'intelligence', 'demonstrate', 'machine', 'oppose', 'natural', 'intelligence', 'display', 'animal', 'include', 'human', 'ai', 'research', 'define', 'field', 'study', 'intelligent', 'agent', 'refers', 'system', 'perceive', 'environment', 'take', 'action', 'maximize', 'chance', 'achieve', 'goal', 'term', 'artificial', 'intelligence', 'previously', 'use', 'describe', 'machine', 'mimic', 'display', 'human', 'cognitive', 'skill', 'associate', 'human', 'mind', 'learning', 'problem', 'solve', 'definition', 'since', 'reject', 'major', 'ai', 'researcher', 'describe', 'ai', 'term', 'rationality', 'act', 'rationally', 'limit', 'intelligence', 'articulate', 'ai', 'application', 'include', 'advanced', 'web', 'search', 'engine', 'e', 'g', 'google', 'recommendation', 'system', 'use', 'youtube', 'amazon', 'netflix', 'understand', 'human', 'speech', 'siri', 'alexa', 'self', 'drive', 'car', 'e', 'g', 'tesla', 'automate', 'decision', 'make', 'compete', 'high', 'level', 'strategic', 'game', 'system', 'chess', 'go', 'machine', 'become', 'increasingly', 'capable', 'task', 'consider', 'require', 'intelligence', 'often', 'remove', 'definition', 'ai', 'phenomenon', 'know', 'ai', 'effect', 'instance', 'optical', 'character', 'recognition', 'frequently', 'exclude', 'thing', 'consider', 'ai', 'become', 'routine', 'technology', 'artificial', 'intelligence', 'found', 'academic', 'discipline', '1956', 'year', 'since', 'experienced', 'several', 'wave', 'optimism', 'follow', 'disappointment', 'loss', 'funding', 'know', 'ai', 'winter', 'follow', 'new', 'approach', 'success', 'renew', 'funding', 'ai', 'research', 'try', 'discard', 'many', 'different', 'approach', 'since', 'found', 'include', 'simulate', 'brain', 'model', 'human', 'problem', 'solve', 'formal', 'logic', 'large', 'database', 'knowledge', 'imitate', 'animal', 'behavior', 'first', 'decades', '21st', 'century', 'highly', 'mathematical', 'statistical', 'machine', 'learn', 'dominated', 'field', 'technique', 'prove', 'highly', 'successful', 'help', 'solve', 'many', 'challenge', 'problem', 'throughout', 'industry', 'academia', 'various', 'sub', 'field', 'ai', 'research', 'center', 'around', 'particular', 'goal', 'use', 'particular', 'tool', 'traditional', 'goal', 'ai', 'research', 'include', 'reason', 'knowledge', 'representation', 'plan', 'learn', 'natural', 'language', 'processing', 'perception', 'ability', 'move', 'manipulate', 'object', 'general', 'intelligence', 'ability', 'solve', 'arbitrary', 'problem', 'among', 'field', 'long', 'term', 'goal', 'solve', 'problem', 'ai', 'researcher', 'adapt', 'integrated', 'wide', 'range', 'problem', 'solve', 'technique', '–', 'include', 'search', 'mathematical', 'optimization', 'formal', 'logic', 'artificial', 'neural', 'network', 'method', 'base', 'statistic', 'probability', 'economics', 'ai', 'also', 'draw', 'upon', 'computer', 'science', 'psychology', 'linguistics', 'philosophy', 'many', 'field', 'field', 'found', 'assumption', 'human', 'intelligence', 'precisely', 'describe', 'machine', 'make', 'simulate', 'raise', 'philosophical', 'argument', 'mind', 'ethical', 'consequence', 'create', 'artificial', 'being', 'endow', 'human', 'like', 'intelligence', 'issue', 'previously', 'explore', 'myth', 'fiction', 'philosophy', 'since', 'antiquity', 'computer', 'scientist', 'philosopher', 'since', 'suggest', 'ai', 'may', 'become', 'existential', 'risk', 'humanity', 'rational', 'capacity', 'steer', 'towards', 'beneficial', 'goal']"
